FBgn	ME_type	geneName
FBgn0000008	Inactive	a
FBgn0000014	PcG	abd-A
FBgn0000015	PcG	Abd-B
FBgn0000017	Active	Abl
FBgn0000018	Active	abo
FBgn0000022	Inactive	ac
FBgn0000024	Inactive	Ace
FBgn0000028	Inactive	acj6
FBgn0000032	Active	Acph-1
FBgn0000036	Inactive	nAChRalpha1
FBgn0000037	PcG	mAChR-A
FBgn0000038	Inactive	nAChRbeta1
FBgn0000042	Active	Act5C
FBgn0000043	Active	Act42A
FBgn0000044	PcG	Act57B
FBgn0000045	Inactive	Act79B
FBgn0000046	Inactive	Act87E
FBgn0000047	Inactive	Act88F
FBgn0000052	Active	ade2
FBgn0000053	Active	ade3
FBgn0000054	Active	Adf1
FBgn0000055	Inactive	Adh
FBgn0000057	Active	adp
FBgn0000061	Inactive	al
FBgn0000063	Active	ald
FBgn0000064	Active	Ald
FBgn0000071	PcG	Ama
FBgn0000075	Inactive	amd
FBgn0000077	Active	amx
FBgn0000083	Active	AnxB9
FBgn0000084	Active	AnxB10
FBgn0000092	Active	CG2650
FBgn0000097	Active	aop
FBgn0000099	PcG	ap
FBgn0000100	Active	RpLP0
FBgn0000108	PcG	Appl
FBgn0000109	Active	Aprt
FBgn0000114	Inactive	aret
FBgn0000115	Active	Arl1
FBgn0000116	Inactive	Argk
FBgn0000117	Active	arm
FBgn0000119	Active	arr
FBgn0000121	PcG	Arr2
FBgn0000137	Inactive	ase
FBgn0000139	Active	ash2
FBgn0000140	Active	asp
FBgn0000146	Active	aub
FBgn0000147	Active	aurA
FBgn0000150	Active	awd
FBgn0000152	Inactive	Axs
FBgn0000153	Inactive	b
FBgn0000157	PcG	Dll
FBgn0000158	Inactive	bam
FBgn0000163	Inactive	baz
FBgn0000166	PcG	bcd
FBgn0000173	Active	ben
FBgn0000179	PcG	bi
FBgn0000180	Inactive	bib
FBgn0000181	Active	bic
FBgn0000182	Inactive	BicC
FBgn0000183	Active	BicD
FBgn0000210	Active	br
FBgn0000212	Active	brm
FBgn0000221	Active	brn
FBgn0000228	Active	Bsg25D
FBgn0000229	Active	bsk
FBgn0000233	PcG	btd
FBgn0000239	Active	bur
FBgn0000241	Inactive	bw
FBgn0000244	Active	by
FBgn0000246	Active	c(3)G
FBgn0000247	Active	ca
FBgn0000250	Active	cact
FBgn0000251	PcG	cad
FBgn0000253	Active	Cam
FBgn0000256	Active	capu
FBgn0000257	Active	car
FBgn0000259	Active	CkIIbeta
FBgn0000261	Active	Cat
FBgn0000273	Active	Pka-C1
FBgn0000274	Inactive	Pka-C2
FBgn0000276	Active	CecA1
FBgn0000278	Active	CecB
FBgn0000279	Active	CecC
FBgn0000283	Active	Cp190
FBgn0000286	Active	Cf2
FBgn0000287	PcG	salr
FBgn0000289	Active	cg
FBgn0000299	Active	Cg25C
FBgn0000303	Inactive	Cha
FBgn0000307	Active	chif
FBgn0000308	Active	chic
FBgn0000316	Active	cin
FBgn0000317	Active	ck
FBgn0000318	Active	cl
FBgn0000319	Active	Chc
FBgn0000320	PcG	eya
FBgn0000326	Active	clt
FBgn0000330	Active	cm
FBgn0000337	Active	cn
FBgn0000339	Active	cni
FBgn0000346	Active	comt
FBgn0000351	Active	cort
FBgn0000352	Active	cos
FBgn0000357	Inactive	Cp18
FBgn0000370	Active	crc
FBgn0000376	Active	crm
FBgn0000377	Active	crn
FBgn0000382	Active	csw
FBgn0000384	Active	cta
FBgn0000394	Active	cv
FBgn0000395	Inactive	cv-2
FBgn0000404	Active	CycA
FBgn0000405	Active	CycB
